区域,省份,级别,SGMW代码,经销商名称,对应内部代码
西南,贵州,A,9520019,贵州正宇实业发展有限公司,C-00000182
西南,四川,A,9510009,四川智和诚汽车销售服务有限公司,C-00001213
西南,贵州,A,9520033,遵义良驹汽车贸易有限公司毕节市分公司,C-00003557
中南,广西,A,9450019,柳州市双恒物资贸易有限公司,C-00001121
中南,广西,A,9450088,柳州市双新贸易有限公司,C-00001122
中南,广西,A,9450098,柳州五菱新事业发展有限责任公司,C-00000315
中南,广西,A,9450040,玉林益江汽车贸易有限公司,C-00001303
中南,广西,A,9450091,广西海腾汽车销售服务有限公司,C-00000987
中南,广西,A,9450017,南宁远勋汽车销售有限公司,C-00000358
中南,江西,A,9360047,赣州五菱汽车销售有限责任公司,C-00000151
中南,湖北,A,9420099,湖北威马楚通实业集团有限公司,C-00006422
中南,江西,A,9360042,江西五菱汽车销售有限公司,C-00001074
中南,湖南,A,9430078,郴州申湘天众汽车销售服务有限公司,C-00000920
中南,广西,A,9450086,桂林市宝路通商贸有限责任公司,C-00000183
中南,湖南,A,9430067,怀化市五菱汽车销售服务有限公司,C-00001051
中南,湖北,A,9420031,恩施自治州德福商贸有限责任公司,C-00000950
中南,广西,A,9450052,桂林双恒汽车贸易有限公司,C-00001012
中南,江西,A,9360007,抚州市正达汽车贸易运输有限公司,C-00001920
中南,湖南,A,9430001,湖南五菱汽车销售有限公司,C-00000234
中南,广西,A,9450029,贵港市润达汽车销售服务有限公司,C-00000999
中南,广西,A,9450051,北海建沅汽车销售服务有限公司,C-00000907
中南,广西,A,945001901,广西贺州市常兴汽车销售有限责任公司,C-00003455
中南,广西,A,9450075,梧州市双恒汽车销售服务有限公司,C-00001858
中南,湖南,A,9430081,湖南宏菱汽车销售服务有限公司,C-00002162
中南,江西,A,9360066,上饶市星源汽车贸易有限公司,C-00001201
中南,广西,A,9450087,百色市建润汽车销售服务有限公司,C-00000903
中南,江西,A,9360051,吉安市天发汽车贸易有限责任公司,C-00001058
中南,湖南,A,9430075,邵阳市宝菱汽车销售服务有限公司,C-00001202
中南,广西,A,9450077,河池市双恒汽车销售服务有限公司,C-00002107
中南,广西,A,9450076,钦州市润海汽车销售服务有限公司,C-00002130
中南,江西,A,9360068,鹰潭市鑫达微型汽车贸易有限公司,C-00001885
中南,湖南,A,9430080,株洲蓝马五菱汽车销售服务有限公司,C-00002197
中南,湖南,A,9430090,常德市五菱汽车销售服务有限公司,C-00003402
中南,湖北,A,9420050,咸宁友力汽车销售服务有限公司,C-20000020
中南,湖南,A,9430099,益阳长益五菱汽车销售服务有限公司,C-00005818
中南,湖南,A,9430073,吉首五菱汽车销售服务有限责任公司,C-00001061
中南,湖南,A,9430074,涟源市兴旺汽车销售有限责任公司,C-00000287
中南,江西,A,9360052,九江市联信汽车销售有限公司,C-00002447
中南,湖南,A,9430079,岳阳中拓五菱汽车销售服务有限公司,C-00001306
中南,江西,A,9360069,宜春市鑫源汽车贸易有限公司,C-00000586
中南,江西,A,9360067,萍乡市骏菱汽车销售服务有限公司,C-20000025
中南,江西,A,9360053,景德镇市宏鑫汽车贸易有限责任公司,C-00002104
中南,湖南,A,9430091,张家界市华云汽车销售服务有限公司,C-20000017
中南,湖南,A,9430098,衡阳国菱汽车销售服务有限公司,C-00001707
中南,湖南,A,9430077,永州中拓五菱汽车销售有限公司,C-00001300
中南,湖南,A,9430092,新化县动力汽车销售有限责任公司,C-00003389
中南,广西,A,AAAAAAA,广西绿色通道汽车服务有限公司,C-00002199
中南,江西,A,B360018,景德镇国骏汽车销售服务有限公司,C-20000359
中南,湖南,A,B430005,湖南湘骏汽车销售服务有限公司,C-00004034
华南,广东,A,9440099,广东五菱汽车销售服务有限公司,C-00000981
华南,广东,A,9440080,深圳市骏能实业有限公司,C-00001205
华南,广东,A,9440048,中山市金菱汽车贸易有限公司,C-00001335
华南,广东,A,9440049,深圳市广物正通达汽车贸易有限公司,C-00003419
华南,海南,A,9460077,海南源吉汽车贸易有限公司,C-80002030
华南,广东,A,9440043,汕头市锦丰汽车贸易有限公司,C-00000435
华南,广东,A,9440060,开平市保捷汽车贸易有限公司,C-00000274
华南,广东,A,9440008,茂名市茂物机电设备有限公司,C-00000334
华南,广东,A,9440035,佛山市南海区汕南汽车销售服务有限公司,C-00000141
华南,广东,A,9440013,湛江市大众城汽车贸易有限公司,C-00001310
华南,广东,A,9440087,揭阳市鹏发车业有限公司,C-00003436
华南,广东,A,9440082,汕头市澄海区兴隆机电设备有限公司,C-00001196
华南,广东,A,9440093,广州市众合力汽车贸易有限公司,C-00000997
华南,广东,A,9440068,普宁市兴旺盛汽车贸易有限公司,C-00001170
华南,广东,A,9440052,佛山市金华贵汽车有限公司,C-00000957
华南,广东,A,9440069,肇庆市众诚汽车贸易有限公司,C-00001325
华南,广东,A,9440075,潮州市鸿柳汽车销售有限公司,C-00000918
华南,广东,A,9440031,潮州市粤胜汽贸有限公司,C-00000103
华南,广东,A,9440063,梅州市兴隆达汽车贸易有限公司,C-00003425
华南,广东,A,9440061,惠州市柳菱汽车销售服务有限公司,C-00001057
华南,广东,A,9440070,清远市新华贵汽车有限公司,C-00001181
华南,广东,A,9440036,广州市五能汽车贸易有限公司,C-00000996
华南,广东,A,9440023,佛山市三水合力汽车服务有限公司,C-00002198
华南,广东,A,9440085,河源市源城区广发汽车贸易有限公司,C-00001041
华南,广东,A,9440045,韶关市粤胜汽贸有限公司,C-00001728
华南,海南,A,9460058,三亚源华汽车贸易有限公司,C-00002111
华南,广东,A,9440090,珠海市众大利物资车业有限公司,C-00001352
华南,广东,A,9440042,佛山市顺德骏菱汽车贸易有限公司,C-20000009
